[GLUe]_0	Values[V_OXPHOS].InitialValue	(OXPHOS).Flux
0.5	16.31	6.59838
0.5	16.345	6.60206
0.5	16.38	6.60571
0.5	16.415	6.60934
0.5	16.45	6.61294
0.5	16.485	6.61652
0.5	16.52	6.62007
0.5	16.555	6.6236
0.5	16.59	6.6271
0.5	16.625	6.63058
0.5	16.66	6.63404
0.5	16.695	6.63747
0.5	16.73	6.64087
0.5	16.765	6.64426
0.5	16.8	6.64762
0.5	16.835	6.65095
0.5	16.87	6.65427
0.5	16.905	6.65755
0.5	16.94	6.66082
0.5	16.975	6.66407
0.5	17.01	6.66729
0.5	17.045	6.67049
0.5	17.08	6.67366
0.5	17.115	6.67682
0.5	17.15	6.67995
0.5	17.185	6.68307
0.5	17.22	6.68616
0.5	17.255	6.68923
0.5	17.29	6.69227
0.5	17.325	6.6953
0.5	17.36	6.69831
0.5	17.395	6.70129
0.5	17.43	6.70426
0.5	17.465	6.7072
0.5	17.5	6.71013
0.5	17.535	6.71303
0.5	17.57	6.71591
0.5	17.605	6.71878
0.5	17.64	6.72162
0.5	17.675	6.72445
0.5	17.71	6.72726
0.5	17.745	6.73004
0.5	17.78	6.73281
0.5	17.815	6.73556
0.5	17.85	6.73829
0.5	17.885	6.741
0.5	17.92	6.7437
0.5	17.955	6.74637
0.5	17.99	6.74903
0.5	18.025	6.75167
0.5	18.06	6.75429
0.5	18.095	6.7569
0.5	18.13	6.75948
0.5	18.165	6.76205
0.5	18.2	6.76461
0.5	18.235	6.76714
0.5	18.27	6.76966
0.5	18.305	6.77216
0.5	18.34	6.77464
0.5	18.375	6.77711
0.5	18.41	6.77956
0.5	18.445	6.782
0.5	18.48	6.78442
0.5	18.515	6.78682
0.5	18.55	6.78921
0.5	18.585	6.79158
0.5	18.62	6.79393
0.5	18.655	6.79627
0.5	18.69	6.7986
0.5	18.725	6.80091
0.5	18.76	6.8032
0.5	18.795	6.80548
0.5	18.83	6.80774
0.5	18.865	6.80999
0.5	18.9	6.81223
0.5	18.935	6.81445
0.5	18.97	6.81665
0.5	19.005	6.81884
0.5	19.04	6.82102
0.5	19.075	6.82318
