Values[Vf_GLUT].InitialValue	(Growth).Flux
116.85	0.0122985	
117	0.0123013	
117.15	0.0123042	
117.3	0.012307	
117.45	0.0123098	
117.6	0.0123126	
117.75	0.0123154	
117.9	0.0123182	
118.05	0.0123209	
118.2	0.0123237	
118.35	0.0123264	
118.5	0.0123292	
118.65	0.0123319	
118.8	0.0123347	
118.95	0.0123374	
119.1	0.0123401	
119.25	0.0123428	
119.4	0.0123455	
119.55	0.0123482	
119.7	0.0123508	
119.85	0.0123535	
120	0.0123562	
120.15	0.0123588	
120.3	0.0123615	
120.45	0.0123641	
120.6	0.0123667	
120.75	0.0123693	
120.9	0.012372	
121.05	0.0123746	
121.2	0.0123771	
121.35	0.0123797	
121.5	0.0123823	
121.65	0.0123849	
121.8	0.0123874	
121.95	0.01239	
122.1	0.0123925	
122.25	0.0123951	
122.4	0.0123976	
122.55	0.0124001	
122.7	0.0124026	
122.85	0.0124051	
123	0.0124076	
123.15	0.0124101	
123.3	0.0124126	
123.45	0.0124151	
123.6	0.0124175	
123.75	0.01242	
123.9	0.0124224	
124.05	0.0124249	
124.2	0.0124273	
124.35	0.0124297	
124.5	0.0124322	
124.65	0.0124346	
124.8	0.012437	
124.95	0.0124394	
125.1	0.0124418	
125.25	0.0124442	
125.4	0.0124465	
125.55	0.0124489	
125.7	0.0124513	
125.85	0.0124536	
126	0.012456	
126.15	0.0124583	
126.3	0.0124606	
126.45	0.012463	
126.6	0.0124653	
126.75	0.0124676	
126.9	0.0124699	
127.05	0.0124722	
127.2	0.0124745	
127.35	0.0124768	
127.5	0.0124791	
127.65	0.0124813	
127.8	0.0124836	
127.95	0.0124859	
128.1	0.0124881	
128.25	0.0124904	
128.4	0.0124926	
128.55	0.0124948	
128.7	0.0124971	
128.85	0.0124993	
129	0.0125015	
129.15	0.0125037	
129.3	0.0125059	
129.45	0.0125081	
129.6	0.0125103	
129.75	0.0125125	
129.9	0.0125146	
130.05	0.0125168	
130.2	0.012519	
130.35	0.0125211	
130.5	0.0125233	
130.65	0.0125254	
130.8	0.0125275	
130.95	0.0125297	
131.1	0.0125318	
131.25	0.0125339	
131.4	0.012536	
131.55	0.0125381	
131.7	0.0125402	
131.85	0.0125423	
132	0.0125444	
132.15	0.0125465	
